customerID,Customer Title,Customer Birth Date,Came From Paid Acq?,# Months since first Purchase,InternetService,Has contacted CS,Has RakutenTV,PaymentMethod,Last Purchase Amount,Total Purchase Amount,Churn
4183-MYFRB,Mr,09/07/1959,No,21.0,DSL,No,No,Credit card,90.05,1862.9,No
8779-QRDMV,Mr,02/24/1971,No,1.0,,Yes,No,,39.65,39.65,Yes
1680-VDCWW,Miss,05/20/1957,Yes,12.0,,No,No internet service,Credit card,19.8,202.25,No
1066-JKSGK,Mr,10/17/1971,No,1.0,DSL,No,No internet service,Credit card,20.15,20.15,Yes
3638-WEABW,Mr,04/05/1967,Yes,58.0,,No,No,Credit card,59.9,3505.1,No
6322-HRPFA,Mr,01/15/1978,Yes,49.0,,No,No,Credit card,59.6,2970.3,No
6865-JZNKO,Ms,08/22/1955,No,30.0,DSL,No,No,Credit card,55.3,1530.6,No
6467-CHFZW,Ms.,12/06/1969,Yes,47.0,Fiber optic,Yes,Yes,Credit card,99.35,4749.15,Yes
8665-UTDHZ,Mr,04/19/1968,Yes,1.0,DSL,Yes,No,Bank transfer (automatic),30.2,30.2,Yes
5248-YGIJN,Mr,10/22/1967,Yes,72.0,,No,Yes,Credit card,90.25,6369.45,No
8773-HHUOZ,Mr,07/29/1955,No,17.0,,No,Yes,Credit card,64.7,1093.1,Yes
3841-NFECX,Ms,02/24/1978,Yes,71.0,Fiber optic,No,No,Credit card,96.35,6766.95,No
4929-XIHVW,Mr,04/05/1957,Yes,2.0,Fiber optic,No,Yes,Credit card,95.5,181.65,No
6827-IEAUQ,Mr,08/26/1957,Yes,27.0,,,No,Credit card,66.15,1874.45,No
7310-EGVHZ,Miss,06/26/1963,No,1.0,Fiber optic,No,No internet service,Credit card,20.2,20.2,No
3413-BMNZE,Mr,03/22/1968,No,1.0,DSL,No,No,,45.25,45.25,No
6234-RAAPL,Ms,07/24/1971,Yes,72.0,,,Yes,PayPal,99.9,7251.7,No
6047-YHPVI,Mr,03/19/1960,No,5.0,,Banana,No,Credit card,69.7,316.9,Yes
6572-ADKRS,Mr,07/31/1977,No,46.0,,Yes,No,Bank transfer (automatic),74.8,3548.3,No
5380-WJKOV,Mr,05/13/1952,No,34.0,,Yes,Yes,Credit card,106.35,3549.25,Yes
8168-UQWWF,Mr,10/13/1951,No,11.0,DSL,No,Yes,Credit card,97.85,1105.4,Yes
8865-TNMNX,Miss,11/24/1974,Yes,10.0,DSL,Yes,No,,49.55,475.7,No
9489-DEDVP,Mr,11/06/1952,Yes,70.0,,,Yes,Credit card,69.2,4872.35,No
9867-JCZSP,Mr,10/05/1975,Yes,17.0,DSL,Yes,No internet service,Credit card,20.75,418.25,No
4671-VJLCL,Ms.,04/26/1958,No,63.0,,Yes,Yes,Credit card,79.85,4861.45,No
4080-IIARD,Mr,03/15/1971,Yes,13.0,,Yes,Yes,Credit card,76.2,981.45,No
3714-NTNFO,Mr,04/23/1967,No,49.0,Fiber optic,Yes,No,Bank transfer (automatic),84.5,3906.7,No
5948-UJZLF,Mr,05/17/1959,No,2.0,,No,No,Credit card,49.25,97,No
7760-OYPDY,Mr,07/12/1952,No,2.0,,Yes,Yes,Credit card,80.65,144.15,Yes
7639-LIAYI,Miss,01/30/1968,No,52.0,,Yes,Yes,Credit card,79.75,4217.8,No
2954-PIBKO,Mr,04/12/1953,Yes,69.0,,Yes,No,Credit card,64.15,4254.1,No
8012-SOUDQ,Miss,04/16/1968,No,43.0,DSL,No,Yes,,90.25,3838.75,No
9420-LOJKX,Ms,08/24/1979,No,15.0,,Yes,Yes,Credit card,99.1,1426.4,Yes
6575-SUVOI,Miss,01/31/1971,Yes,25.0,,Yes,Yes,Credit card,69.5,1752.65,No
7495-OOKFY,Mr,08/27/1951,Yes,8.0,Fiber optic,No,No,Credit card,80.65,633.3,Yes
4667-QONEA,Ms,09/29/1969,Yes,60.0,,Yes,No,Credit card,74.85,4456.35,No
1658-BYGOY,Mr,03/27/1959,No,18.0,,No,Yes,Credit card,95.45,1752.55,Yes
8769-KKTPH,Mr,02/27/1961,Yes,63.0,,No,Yes,Credit card,99.65,6311.2,No
5067-XJQFU,Mr,01/13/1978,Yes,66.0,,No,Yes,Credit card,108.45,7076.35,No
3957-SQXML,Mr,04/04/1966,Yes,34.0,,Yes,No internet service,Credit card,24.95,894.3,No
5954-BDFSG,Ms,12/24/1968,No,72.0,,Yes,Yes,Credit card,107.5,7853.7,No
0434-CSFON,Miss,10/28/1963,Yes,47.0,,Yes,Yes,Credit card,100.5,4707.1,No
1215-FIGMP,Mr,02/20/1969,No,60.0,,Yes,Yes,Credit card,89.9,5450.7,No
0526-SXDJP,Mr,08/09/1975,Yes,72.0,,Banana,No,Bank transfer (automatic),42.1,2962,No
0557-ASKVU,Mr,01/04/1975,Yes,18.0,,No,No,Credit card,54.4,957.1,No
5698-BQJOH,Ms,04/13/1978,No,9.0,,Yes,Yes,Credit card,94.4,857.25,Yes
5122-CYFXA,Ms.,08/28/1963,No,3.0,Fiber optic,No,Yes,PayPal,75.3,244.1,No
8627-ZYGSZ,Ms,02/04/1964,Yes,47.0,,Yes,No,Credit card,78.9,3650.35,No
3410-YOQBQ,Ms,04/22/1961,No,31.0,DSL,No,Yes,Credit card,79.2,2497.2,No
3170-NMYVV,Mr,10/06/1969,Yes,50.0,DSL,Yes,No internet service,Credit card,20.15,930.9,No
7410-OIEDU,Ms,10/31/1973,No,10.0,,No,No,Credit card,79.85,887.35,No
2273-QCKXA,Ms,11/18/1974,No,1.0,,,No,PayPal,49.05,49.05,No
0731-EBJQB,Mr,05/13/1957,Yes,52.0,DSL,No,No internet service,Credit card,20.4,1090.65,No
1891-QRQSA,Mr,09/23/1970,Yes,64.0,,No,Yes,Credit card,111.6,7099,No
8028-PNXHQ,Mr,02/13/1978,Yes,62.0,DSL,No,No internet service,Credit card,24.25,1424.6,No
5630-AHZIL,Ms.,12/30/1963,No,3.0,,No,No,Credit card,64.5,177.4,No
2673-CXQEU,Mr,09/21/1973,No,56.0,,Yes,Yes,Credit card,110.5,6139.5,No
6416-JNVRK,Ms,11/10/1956,No,46.0,,No,No,Credit card,55.65,2688.85,No
5590-ZSKRV,Ms.,02/11/1958,Yes,8.0,,Yes,No,Credit card,54.65,482.25,No
0191-ZHSKZ,Miss,02/20/1974,No,30.0,,No,Yes,Bank transfer (automatic),74.75,2111.3,No
3887-PBQAO,Mr,05/22/1963,Yes,45.0,,No,No internet service,Credit card,25.9,1216.6,No
5919-TMRGD,Mr,03/14/1951,No,1.0,,Yes,Yes,Credit card,79.35,79.35,Yes
8108-UXRQN,Mr,08/30/1969,Yes,11.0,,Yes,Yes,Credit card,50.55,565.35,No
9191-MYQKX,Mr,05/14/1979,Yes,7.0,,No,No,,75.15,496.9,Yes
9919-YLNNG,Mr,07/29/1972,No,42.0,,Yes,Yes,PayPal,103.8,4327.5,No
0318-ZOPWS,Mr ,07/08/1966,Yes,49.0,,Yes,No internet service,Credit card,20.15,973.35,No
4445-ZJNMU,Ms,05/15/1970,No,9.0,,No,Yes,Credit card,99.3,918.75,No
4808-YNLEU,Mr,11/12/1964,Yes,35.0,,Yes,Yes,Credit card,62.15,2215.45,No
1862-QRWPE,Ms,09/24/1956,Yes,48.0,DSL,No,No internet service,Credit card,20.65,1057,No
2796-NNUFI,Mr,10/25/1967,Yes,46.0,,Yes,No internet service,Credit card,19.95,927.1,No
3016-KSVCP,Miss,02/27/1958,Yes,29.0,,No,Yes,Credit card,33.75,1009.25,No
4767-HZZHQ,Mr ,08/17/1966,Yes,30.0,,No,No,PayPal,82.05,2570.2,No
2424-WVHPL,Ms,09/11/1961,No,1.0,DSL,,No,Credit card,74.7,74.7,No
7233-PAHHL,Mr,05/06/1973,Yes,66.0,DSL,Yes,Yes,Credit card,84.0,5714.25,No
6067-NGCEU,Mr,11/27/1977,No,65.0,,No,Yes,Credit card,111.05,7107,No
9848-JQJTX,Mr,07/12/1963,No,72.0,Orange,No,Yes,Credit card,100.9,7459.05,No
8637-XJIVR,Mr ,10/20/1977,No,12.0,DSL,Yes,No,Credit card,78.95,927.35,Yes
9803-FTJCG,Ms,07/04/1955,Yes,71.0,DSL,Yes,No,Credit card,66.85,4748.7,No
0278-YXOOG,Mr,05/25/1968,No,5.0,Orange,No,No internet service,Credit card,21.05,113.85,Yes
3212-KXOCR,Mr,01/31/1963,No,52.0,,Yes,No internet service,Credit card,21.0,1107.2,No
4598-XLKNJ,Mr,02/07/1966,Yes,25.0,,Banana,Yes,Credit card,98.5,2514.5,Yes
6380-ARCEH,Miss,04/26/1958,No,1.0,,Yes,No internet service,,20.2,20.2,No
3679-XASPY,Mr,06/18/1953,Yes,1.0,DSL,No,No internet service,Credit card,19.45,19.45,No
7123-WQUHX,Miss,01/01/2021,No,38.0,,No,Yes,Credit card,95.0,3605.6,No
5386-THSLQ,Mr,07/26/1958,Yes,66.0,,Yes,Yes,PayPal,45.55,3027.25,No
3192-NQECA,Mr,09/07/1978,Yes,68.0,,No,Yes,PayPal,110.0,7611.85,Yes
6180-YBIQI,Mr,01/21/1969,No,5.0,DSL,No,No,Credit card,24.3,100.2,No
6728-DKUCO,Mr,03/22/1962,Yes,72.0,,No,Yes,Credit card,104.15,7303.05,No
9750-BOOHV,Mr,12/25/1960,No,32.0,Fiber optic,Banana,No,Credit card,30.15,927.65,No
8597-CWYHH,Ms,07/19/1969,No,43.0,Fiber optic,Yes,Yes,Credit card,94.35,3921.3,No
2848-YXSMW,Ms,09/02/1969,Yes,72.0,,Yes,No internet service,Credit card,19.4,1363.25,No
0486-HECZI,Ms,05/19/1965,Yes,55.0,Fiber optic,,Yes,Credit card,96.75,5238.9,Yes
4549-ZDQYY,Ms,10/15/1954,No,52.0,DSL,No,No,Credit card,57.95,3042.25,No
5712-AHQNN,Mr,07/16/1976,No,43.0,Fiber optic,No,Yes,Bank transfer (automatic),91.65,3954.1,No
4846-WHAFZ,Mr,10/03/1952,Yes,37.0,,No,No,Credit card,76.5,2868.15,Yes
5256-SKJGO,Miss,11/10/1977,Yes,64.0,,Yes,Yes,Bank transfer (automatic),54.6,3423.5,No
3071-VBYPO,Ms,05/14/1964,Yes,3.0,,Yes,Yes,PayPal,89.85,248.4,No
9560-BBZXK,Mr,07/31/1950,No,36.0,Fiber optic,No,No,Credit card,31.05,1126.35,No
5299-RULOA,Mr ,08/21/1973,Yes,10.0,DSL,Banana,Yes,Bank transfer (automatic),100.25,1064.65,Yes
8402-OOOHJ,Ms,03/20/1953,No,41.0,Fiber optic,Yes,No internet service,Credit card,20.65,835.15,No
9445-ZUEQE,Mr,04/15/1958,Yes,27.0,,Yes,No,Credit card,85.2,2151.6,No
1091-SOZGA,Miss,03/27/1977,Yes,56.0,,Yes,Yes,Credit card,99.8,5515.45,No
2928-HLDBA,Mr,04/08/1959,No,6.0,,No,No internet service,PayPal,20.7,112.75,No
0404-SWRVG,Ms,11/22/1959,No,3.0,,Yes,No,Credit card,74.4,229.55,Yes
6497-TILVL,Miss,08/15/1963,Yes,7.0,Fiber optic,Yes,No,Credit card,50.7,350.35,No
7219-TLZHO,Mr,09/27/1965,Yes,4.0,,,No internet service,Credit card,20.85,62.9,No
4622-YNKIJ,Mr,06/17/1972,No,33.0,,Yes,Yes,Credit card,88.95,3027.65,No
4412-YLTKF,Mr,01/23/1979,No,27.0,,No,No,Credit card,78.05,2135.5,Yes
6734-PSBAW,Ms,02/03/1956,Yes,72.0,,No,No internet service,Bank transfer (automatic),23.55,1723.95,No
3930-ZGWVE,Mr,10/29/1957,No,1.0,,Yes,No internet service,Credit card,19.75,19.75,No
2639-UGMAZ,Mr,12/11/1977,No,71.0,DSL,Yes,Yes,Credit card,56.45,3985.35,No
2876-GZYZC,Miss,10/24/1959,No,13.0,DSL,No,No,PayPal,85.95,1215.65,No
6207-WIOLX,Ms,11/04/1968,Yes,25.0,,Yes,Yes,Credit card,58.6,1502.65,Yes
8587-XYZSF,Mr,03/17/1967,No,67.0,,No,No,Credit card,50.55,3260.1,No
3091-FYHKI,Mr,04/22/1951,No,1.0,,Yes,No,Credit card,35.45,35.45,Yes
2372-HWUHI,Mr,11/05/1974,No,2.0,DSL,No,No,Credit card,44.35,81.25,Yes
7799-LGRDP,Mr,12/15/1952,No,43.0,,Yes,No internet service,Credit card,25.7,1188.2,No
7850-VWJUU,Ms,08/04/1967,No,23.0,Fiber optic,Yes,No,Credit card,75.0,1778.5,No
3774-VBNXY,Mr,12/07/1964,Yes,64.0,,Yes,No internet service,Bank transfer (automatic),20.2,1277.75,No
6217-KDYWC,Mr,12/12/1966,No,57.0,,No,No internet service,Credit card,19.6,1170.55,No
0390-DCFDQ,Miss,12/02/1978,Yes,1.0,,Yes,No,,70.45,70.45,Yes
3146-MSEGF,Mr ,07/30/1955,Yes,72.0,,No,Yes,Credit card,88.05,6425.65,No
4080-OGPJL,Mr,05/22/1965,No,8.0,,Yes,No,Credit card,71.15,563.65,Yes
1095-WGNGG,Miss,04/23/1954,Yes,61.0,,No,Yes,Credit card,101.05,5971.25,No
2636-SJDOU,Miss,09/07/1976,No,64.0,,No,No,Credit card,84.3,5289.05,No
1131-QQZEB,Mr,03/04/1978,Yes,71.0,Fiber optic,Yes,No internet service,Credit card,23.95,1756.2,No
5716-EZXZN,Mr,07/18/1954,Yes,65.0,Fiber optic,Yes,Yes,PayPal,99.05,6416.7,No
6837-BJYDQ,Mr,10/28/1979,No,3.0,,Yes,No internet service,Credit card,19.6,61.35,No
2135-RXIHG,Mr,01/20/1975,No,1.0,,No,No,Credit card,45.65,45.65,Yes
6440-DKQGE,Mr,07/20/1965,No,30.0,,Yes,Yes,PayPal,64.5,1929.95,No
3466-BYAVD,Mr,03/09/1957,Yes,15.0,,Yes,No,Credit card,69.5,1071.4,No
3780-YVMFA,Mr,11/13/1956,Yes,8.0,,No,Yes,Credit card,68.55,564.35,No
3874-EQOEP,Mr,09/09/1955,No,7.0,,No,Yes,Credit card,95.0,655.5,Yes
1679-JRFBR,Mr,01/20/1963,Yes,70.0,,Yes,Yes,,108.15,7930.55,No
9073-ZZIAY,Ms,07/02/1972,Yes,62.0,,No,Yes,Credit card,86.1,5215.25,No
3077-RSNTJ,Mr ,02/10/1972,Yes,6.0,,No,No internet service,Credit card,19.7,113.5,No
6551-GNYDG,Mr,12/25/1968,Yes,14.0,,,No,Bank transfer (automatic),80.9,1152.8,No
9167-APMXZ,Ms,08/16/1962,No,22.0,DSL,No,Yes,Credit card,84.15,1821.95,No
2749-CTKAJ,Mr,03/27/1974,Yes,22.0,Fiber optic,Yes,No internet service,Bank transfer (automatic),20.15,419.9,No
6371-NZYEG,Ms.,08/30/1965,Yes,16.0,,,Yes,Credit card,64.25,1024,No
7554-NEWDD,Mr,08/27/1977,No,10.0,,No,No internet service,PayPal,25.7,251.6,No
8992-VONJD,Mr,01/22/1955,No,13.0,Fiber optic,No,No,Credit card,56.0,764.55,No
0867-MKZVY,Miss,11/14/1960,Yes,20.0,,Yes,No,Credit card,82.4,1592.35,Yes
4482-EWFMI,Mr,01/01/1900,No,2.0,DSL,No,No,Credit card,69.7,135.2,No
4648-YPBTM,Mr,04/03/1979,No,53.0,,Yes,No,Credit card,73.9,3958.25,No
2907-ILJBN,Ms,04/11/1952,Yes,11.0,,Yes,No internet service,PayPal,20.6,233.9,No
6345-FZOQH,Mr,11/29/1952,Yes,69.0,,No,No internet service,Credit card,19.9,1363.45,No
3376-BMGFE,Miss,02/25/1973,No,4.0,,Yes,No,Credit card,70.9,273,Yes
5997-OPVFA,Mr,11/19/1954,Yes,72.0,,Yes,Yes,,89.05,6254.45,No
3445-HXXGF,Ms,06/09/1979,Yes,58.0,,Yes,No,Credit card,45.3,2651.2,Yes
1159-WFSGR,Mr,10/17/1957,Yes,16.0,,No,No internet service,Credit card,20.4,321.4,No
7654-YWJUF,Mr,04/17/1978,Yes,43.0,DSL,Yes,No,Credit card,84.25,3539.25,No
1875-QIVME,Mr,02/16/1971,Yes,2.0,DSL,No,Yes,Credit card,104.4,242.8,Yes
6727-IOTLZ,Miss,05/25/1956,Yes,14.0,,No,Yes,Credit card,81.95,1181.75,No
0691-JVSYA,Mr,07/17/1976,Yes,53.0,DSL,Yes,Yes,Credit card,94.85,5000.2,Yes
5918-VUKWP,Mr,04/08/1963,No,32.0,DSL,Yes,No internet service,Credit card,20.55,654.55,No
1744-JHKYS,Ms,01/01/1900,Yes,34.0,,,No internet service,Credit card,24.7,780.2,No
2656-FMOKZ,Ms,01/04/1950,No,15.0,Fiber optic,No,No,Credit card,74.45,1145.7,Yes
2070-FNEXE,Ms,03/22/1965,No,7.0,,No,No,Credit card,76.45,503.6,Yes
5947-SGKCL,Ms,07/11/1975,Yes,15.0,Fiber optic,Yes,Yes,Credit card,105.35,1559.25,No
3712-PKXZA,Miss,07/14/1970,Yes,61.0,DSL,Yes,No internet service,Credit card,20.55,1252,No
6317-YPKDH,Miss,06/22/1959,No,1.0,DSL,Yes,No,Credit card,29.95,29.95,Yes
6582-OIVSP,Ms,11/05/1970,No,1.0,,No,No,PayPal,45.3,45.3,No
9367-WXLCH,Ms,08/13/1952,No,8.0,,Yes,No,Bank transfer (automatic),84.5,662.65,Yes
5524-KHNJP,Ms,03/13/1971,Yes,33.0,,Yes,Yes,Credit card,74.75,2453.3,No
1918-ZBFQJ,Ms,02/14/1955,No,13.0,DSL,Yes,No,Credit card,79.25,1111.65,Yes
1024-GUALD,Mr,01/10/1960,Yes,1.0,,No,No,Credit card,24.8,24.8,Yes
4827-USJHP,Miss,05/19/1962,No,20.0,Fiber optic,No,No,PayPal,51.8,1023.85,No
8167-GJLRN,Mr,11/22/1963,No,3.0,,No,No,Credit card,30.4,82.15,No
0956-SYCWG,Mr,03/19/1963,No,13.0,,No,No internet service,Credit card,19.65,244.8,No
8017-UVSZU,Ms,01/03/1954,Yes,40.0,Orange,Yes,No,Credit card,56.6,2379.1,No
7100-FQPRV,Mr,06/21/1960,Yes,43.0,,Yes,No,Credit card,71.9,3173.35,No
2472-OVKUP,Mr,06/30/1969,Yes,6.0,,Yes,No,Credit card,91.0,531,Yes
2984-RGEYA,Miss,02/04/1979,Yes,69.0,,No,No internet service,Credit card,19.75,1375.4,No
9680-NIAUV,Ms,07/01/1955,Yes,72.0,,Yes,Yes,,109.7,8129.3,No
2146-EGVDT,Mr,12/06/1964,Yes,59.0,DSL,Yes,No internet service,Credit card,19.3,1192.7,No
2604-IJPDU,Miss,06/15/1969,Yes,20.0,,Yes,Yes,Credit card,96.55,1901.65,No
9178-JHUVJ,Mr,02/26/1977,Yes,24.0,,No,No internet service,Credit card,24.1,587.4,No
6168-YBYNP,Mr,01/06/1971,No,59.0,Orange,Yes,Yes,Bank transfer (automatic),111.35,6519.75,No
7255-SSFBC,Ms,06/30/1961,Yes,72.0,,Yes,Yes,Credit card,112.25,8041.65,No
3645-DEYGF,Mr,04/05/1978,No,1.0,,No,No internet service,Credit card,20.75,20.75,No
9323-HGFWY,Mr,12/08/1968,Yes,27.0,,Yes,Yes,PayPal,101.9,2681.15,No
8544-GOQSH,Mr,07/08/1979,No,14.0,,No,No,Credit card,80.05,1112.3,No
3363-DTIVD,Mr,05/20/1974,Yes,71.0,Fiber optic,No,Yes,Credit card,105.55,7405.5,No
7018-WBJNK,Mr,01/01/1900,No,13.0,,Yes,Yes,Credit card,78.3,1033.95,No
9142-KZXOP,Mr,10/04/1964,No,44.0,,Yes,No,Credit card,68.85,2958.95,No
7674-YTAFD,Mr,03/24/1967,No,33.0,,Yes,No,Bank transfer (automatic),79.95,2684.85,No
6348-SNFUS,Ms,12/31/1954,Yes,72.0,,No,No,Credit card,55.45,4179.2,No
1285-OKIPP,Ms,09/07/1959,No,1.0,,No,No,Credit card,79.9,79.9,Yes
7825-ECJRF,Mr,09/07/1971,No,19.0,,,Yes,Credit card,106.6,1934.45,Yes
1347-KTTTA,Mr,07/30/1968,Yes,64.0,,Yes,Yes,Credit card,102.45,6654.1,No
7841-TZDMQ,Mr,09/06/1976,No,2.0,,Yes,No,PayPal,46.0,84.5,Yes
4195-NZGTA,Mr,02/14/1965,No,1.0,,,No,Credit card,25.25,25.25,No
7157-SMCFK,Miss,03/03/1951,No,61.0,,Yes,No internet service,Credit card,19.75,1124.2,No
4709-LKHYG,Mr,10/26/1969,Yes,29.0,,Yes,No internet service,Credit card,20.0,540.05,No
2504-DSHIH,Mr,07/23/1979,Yes,23.0,DSL,Yes,No,Credit card,86.8,1975.85,No
0699-NDKJM,Ms,01/23/1957,Yes,57.0,,No,Yes,,58.75,3437.45,No
9286-BHDQG,Ms,01/01/2021,Yes,72.0,Orange,Yes,No,Credit card,45.25,3139.8,No
0230-WEQUW,Ms,10/07/1964,Yes,66.0,,No,Yes,Credit card,56.6,3789.2,No
2040-LDIWQ,Mr,09/28/1952,Yes,65.0,,No,Yes,Credit card,84.2,5324.5,No
6496-JDSSB,Ms,06/14/1964,No,8.0,,Yes,Yes,Credit card,80.0,624.6,No
9408-SSNVZ,Mr,08/07/1974,No,4.0,,No,No,Credit card,70.15,268.35,Yes
4443-EMBNA,Ms,09/13/1978,Yes,71.0,,No,No internet service,Credit card,24.75,1836.9,No
6469-MRVET,Mr,10/06/1975,Yes,1.0,,Yes,No internet service,Credit card,20.2,20.2,No
0742-MOABM,Mr,06/27/1962,Yes,4.0,,No,No,Credit card,50.05,179.35,Yes
5961-VUSRV,Mr,05/23/1976,No,12.0,,No,No internet service,,19.35,219.35,No
6778-JFCMK,Mr,08/03/1950,No,24.0,,No,Yes,Credit card,50.6,1288.75,No
6341-JVQGF,Mr,04/26/1955,Yes,31.0,,No,Yes,Credit card,81.15,2545.75,No
2232-DMLXU,Mr,02/25/1968,Yes,1.0,Fiber optic,Yes,Yes,PayPal,55.2,55.2,Yes
4811-JBUVU,Miss,05/15/1951,No,30.0,,No,No,Credit card,89.9,2723.15,No
0945-TSONX,Miss,11/03/1967,Yes,47.0,,No,Yes,Credit card,85.3,4107.25,No
2651-ZCBXV,Miss,10/19/1975,No,54.0,,No,Yes,Credit card,108.0,5760.65,No
3316-UWXUY,Ms,03/10/1959,No,50.0,,Yes,No,Credit card,93.5,4747.5,No
8937-RDTHP,Ms,01/11/1956,No,1.0,,Yes,No,Credit card,84.6,84.6,Yes
7083-MIOPC,Mr,07/29/1972,No,72.0,,Yes,No internet service,PayPal,20.25,1566.9,No
1984-GPTEH,Mr,04/28/1964,No,29.0,,No,No internet service,Credit card,25.15,702,No
1251-KRREG,Miss,11/14/1977,No,2.0,,No,No,Credit card,54.4,114.1,Yes
0621-JFHOL,Mr,01/01/2021,No,10.0,,No,No,Bank transfer (automatic),29.6,299.05,No
9903-LYSAB,Ms,05/26/1965,Yes,18.0,,Yes,No,Credit card,73.15,1305.95,No
0094-OIFMO,Ms.,07/08/1967,No,11.0,,No,Yes,Credit card,95.0,1120.3,Yes
9227-UAQFT,Ms,01/21/1954,No,16.0,Fiber optic,Yes,No internet service,Credit card,19.75,284.35,No
7301-ABVAD,Mr,03/16/1954,No,72.0,Orange,No,Yes,Credit card,86.6,6350.5,No
6614-FHDBO,Ms.,02/18/1970,No,72.0,,Yes,Yes,Credit card,109.2,7878.3,No
7576-ASEJU,Mr,04/19/1965,Yes,41.0,,No,Yes,Credit card,74.7,3187.65,No
9058-HRZSV,Miss,01/26/1957,Yes,65.0,,No,No,Credit card,94.4,6126.15,No
4522-AKYLR,Ms,10/29/1961,No,13.0,Fiber optic,Banana,No,Credit card,54.8,731.3,No
0221-WMXNQ,Mr,04/22/1974,No,4.0,DSL,No,No,Credit card,75.35,273.4,No
0303-UNCIP,Ms,10/13/1974,No,41.0,Fiber optic,Yes,No,Credit card,65.0,2531.8,No
9947-OTFQU,Mr,09/20/1975,No,15.0,,Yes,No,Credit card,74.4,1074.3,Yes
0322-YINQP,Mr,02/11/1962,No,1.0,,Yes,No,Credit card,48.55,48.55,Yes
0959-WHOKV,Mr,06/27/1976,No,42.0,,No,No,Credit card,99.0,4298.45,No
4075-JFPGR,Mr,09/28/1960,Yes,51.0,,Yes,Yes,Credit card,93.5,4619.55,No
4629-NRXKX,Miss,03/25/1968,Yes,2.0,,Yes,No,Credit card,70.4,147.15,Yes
9514-JDSKI,Miss,06/04/1950,Yes,1.0,,Yes,Yes,,40.2,40.2,Yes
3282-ZISZV,Mr,07/11/1973,No,32.0,Fiber optic,Yes,Yes,PayPal,83.7,2633.3,No
3675-YDUPJ,Ms,06/17/1958,No,10.0,,,No internet service,Credit card,19.85,193.05,No
4111-BNXIF,Miss,01/01/2021,Yes,67.0,,Yes,Yes,Credit card,59.55,4103.9,No
7017-VFHAY,Miss,09/17/1950,Yes,61.0,,Yes,Yes,Credit card,115.1,7008.15,No
6655-LHBYW,Mr,01/24/1956,No,50.0,,No,Yes,Credit card,114.35,5791.1,No
4959-JOSRX,Ms,01/02/1977,Yes,2.0,,Yes,No,Bank transfer (automatic),44.6,80.55,Yes
5046-NUHWD,Mr,01/10/1954,Yes,29.0,,Yes,No,Bank transfer (automatic),45.0,1228.65,No
7273-TEFQD,Mr,08/29/1970,No,3.0,Fiber optic,No,No,Credit card,41.15,132.2,Yes
3606-TWKGI,Mr,02/05/1964,No,13.0,,No,Yes,PayPal,106.9,1364.3,Yes
7529-ZDFXI,Ms,12/06/1979,Yes,57.0,Orange,Yes,No,Credit card,89.85,4925.35,No
7605-BDWDC,Mr,04/03/1951,No,31.0,Fiber optic,No,No,Credit card,49.85,1520.1,No
1950-KSVVJ,Miss,10/17/1964,Yes,45.0,,Yes,Yes,Credit card,113.3,5032.25,No
